RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
12,Joel Embiid,PHI,63,30.3,8.1,16.8,0.483,1,3.4,0.308,5.7,7.4,0.769,2.3,8.7,11,3.2,0.6,1.8,3.7,22.9,25.3
13,Bradley Beal,WAS,82,36.3,8.3,18.1,0.46,2.4,6.5,0.375,3.6,4.5,0.791,0.7,3.7,4.4,4.5,1.2,0.4,2.6,22.6,19.9
14,Lou Williams,LAC,79,32.8,7.4,16.9,0.435,2.4,6.6,0.359,5.5,6.2,0.88,0.5,2,2.5,5.3,1.1,0.2,3,22.6,18.4
15,Jimmy Butler,MIN,59,36.7,7.4,15.6,0.474,1.2,3.4,0.35,6.2,7.2,0.854,1.3,4,5.3,4.9,2,0.4,1.8,22.2,23.6
16,Kemba Walker,CHA,80,34.2,7.4,17,0.431,2.9,7.5,0.384,4.5,5.3,0.864,0.4,2.7,3.1,5.6,1.1,0.3,2.2,22.1,19.6
17,Paul George,OKC,79,36.6,7.3,17,0.43,3.1,7.7,0.401,4.3,5.2,0.822,0.9,4.7,5.7,3.3,2,0.5,2.7,21.9,20.2
18,Blake Griffin,DET,58,34,7.5,17.2,0.438,1.9,5.6,0.345,4.5,5.7,0.785,1.3,6.1,7.4,5.8,0.7,0.3,2.8,21.4,21.8
19,CJ McCollum,POR,81,36.1,8.2,18.6,0.443,2.3,5.9,0.397,2.6,3.1,0.836,0.7,3.3,4,3.4,1,0.4,1.9,21.4,17.4
20,Karl-Anthony Towns,MIN,82,35.6,7.8,14.3,0.545,1.5,3.5,0.421,4.2,4.9,0.858,2.9,9.4,12.3,2.4,0.8,1.4,1.9,21.3,29.1
21,Donovan Mitchell,UTA,79,33.4,7.5,17.2,0.437,2.4,7,0.34,3,3.8,0.805,0.7,3.1,3.7,3.7,1.5,0.3,2.7,20.5,16.6
22,Khris Middleton,MIL,82,36.4,7.2,15.5,0.466,1.8,5,0.359,3.9,4.4,0.884,0.5,4.7,5.2,4,1.5,0.3,2.3,20.1,20
23,Klay Thompson,GSW,73,34.3,7.9,16.1,0.488,3.1,7.1,0.44,1.1,1.3,0.837,0.4,3.4,3.8,2.5,0.8,0.5,1.8,20,17.3
24,TJ Warren,PHX,65,33,8.1,16.4,0.498,0.3,1.4,0.222,3,3.9,0.757,1.9,3.2,5.1,1.3,1,0.6,1.3,19.6,17.1
25,Dennis Schroder,ATL,67,31,7.5,17.1,0.436,1.1,3.9,0.29,3.4,4,0.849,0.7,2.4,3.1,6.2,1.1,0.1,2.7,19.4,16.9
26,Jrue Holiday,NOP,81,36.1,7.6,15.4,0.494,1.5,4.4,0.337,2.3,2.9,0.786,0.8,3.7,4.5,6,1.5,0.8,2.6,19,20.8
27,Harrison Barnes,DAL,77,34.2,7,15.7,0.445,1.5,4.3,0.357,3.4,4.1,0.827,1,5.1,6.1,2,0.6,0.2,1.5,18.9,16.8
28,Chris Paul,HOU,58,31.8,6.3,13.8,0.46,2.5,6.5,0.38,3.5,3.8,0.919,0.6,4.8,5.4,7.9,1.7,0.2,2.2,18.6,23.9
29,Tobias Harris,LAC,80,33.4,7,15.3,0.46,2.3,5.6,0.411,2.2,2.7,0.829,0.7,4.7,5.5,2.4,0.9,0.4,1.3,18.6,17.8
30,Nikola Jokic,DEN,75,32.6,6.7,13.5,0.499,1.5,3.7,0.396,3.5,4.2,0.85,2.6,8.1,10.7,6.1,1.2,0.8,2.8,18.5,27.1
31,Eric Gordon,HOU,69,31.2,6,14.1,0.428,3.2,8.8,0.359,2.8,3.5,0.809,0.4,2.1,2.5,2.2,0.6,0.4,1.9,18,13.1
32,Eric Bledsoe,MIL,74,31.4,6.3,13.4,0.473,1.7,4.9,0.347,3.4,4.3,0.795,0.7,3.1,3.8,5,2,0.6,2.9,17.7,18.3
33,Andrew Wiggins,MIN,82,36.3,6.9,15.9,0.438,1.4,4.1,0.331,2.5,3.8,0.643,1,3.4,4.4,2,1.1,0.6,1.7,17.7,13.8
34,Aaron Gordon,ORL,58,32.9,6.5,14.9,0.434,2,5.9,0.336,2.7,3.9,0.698,1.5,6.4,7.9,2.3,1,0.8,1.8,17.6,18.2
35,Kevin Love,CLE,59,28,5.7,12.4,0.458,2.3,5.6,0.415,4,4.5,0.88,1.7,7.5,9.3,1.7,0.7,0.4,1.5,17.6,21
36,Gary Harris,DEN,67,34.4,6.6,13.6,0.485,2.3,5.9,0.396,2,2.4,0.827,0.6,2.1,2.6,2.9,1.8,0.2,1.8,17.5,15.9
